umoId,title,artistCreator,description,objectId,_id,photographer,people,appDate,isoDate,origDate,creationPlace,event,latitude,longitude,exhibition,labelTextEnglish,labelTextSpanish,locality,specimenNumber,commonName,scientificName,medium,copyright,creditLine,keyword,restrictionsForAccess,materialsReleaseRecd,permissionsRestrictions,sourceInstitution,infoStatus,institutionDesc,habitatDs,dsLocId,generalLocationDs,thenNowDs,internalNotes,,,,,thumbWidth,thumbHeight,thumbAspectRatio,expandedHeight,expandedWidth,expandedAspectRatio,
,Bear Valley Dam,,Bear Valley Dam,7185298844_ccb3bf49b3_o,ds12002,,,ca.1930,ca.1930-00-00,ca.1930,"Big Bear Lake, CA",,34.2422808,-116.9748775,,"Bear Valley Dam, Big Bear Lake.","El dique Bear Valley, en el Lago Big Bear.",,,,,,WaterArchives.org,WaterArchives.org,,"There are no known U.S. copyright restrictions on this image. While the digital image is freely available, it is requested thatwww.waterarchives.orgbe credited as its source. For higher quality reproductions of the original physical version contactwww.waterarchives.org, restrictions may apply.",,"There are no known U.S. copyright restrictions on this image. While the digital image is freely available, it is requested thatwww.waterarchives.orgbe credited as its source. For higher quality reproductions of the original physical version contactwww.waterarchives.org, restrictions may apply.",,,,Mountains,12,San Bernardino Mountains,THEN1,https://www.flickr.com/photos/waterarchives/7185298844,,,,,175,133,1.31579,1000,758,1.31926,"El dique Bear Valley, en el Lago Big Bear."
,Bear Valley Dam,,Bear Valley Dam,2763695318_88aba3f4b3_o,ds12001,Chuck Coker,,6-Aug-08,8/6/08,2008-Aug-06,"Big Bear Lake, CA",,34.2422808,-116.9748775,Attic / Coast to Cactus,"Bear Valley Dam, Big Bear Lake.","El dique Bear Valley, en el Lago Big Bear.",,,,,,"(CC) Chuck Coker, Creative Commons License 2.0",Chuck Coker,dam,https://creativecommons.org/licenses/by-nd/2.0/,,https://creativecommons.org/licenses/by-nd/2.0/,,,,Mountains,12,San Bernardino Mountains,NOW1,https://www.flickr.com/photos/caveman_92223/2763695318/,,,,,175,131,1.33588,1000,750,1.33333,"El dique Bear Valley, en el Lago Big Bear."
,"Gorge in consolidated Tertiary Alluvium. Red Canyon, 5 miles east of Mecca. Colorado Desert. San Diego County, California. 1905.",,"Gorge in consolidated Tertiary Alluvium. Red Canyon, 5 miles east of Mecca. Colorado Desert. San Diego County, California. 1905.",mwc00636,ds11004,"Mendenhall, W.C.",,1905,1905-00-00,1905,"5 miles east of Mecca, CA",,33.5712046,-115.883648,,"Gorge in consolidated Tertiary Alluvium. Red Canyon, 5 miles east of Mecca, Colorado Desert, San Diego County, California.","Una quebrada en un depÃ_sito aluvional consolidado del PerÃ_odo Terciario. Red Canyon, 5 millas al este de Mecca en el desierto de Colorado, condado de San Diego, California.",,,,,,,U.S. Geological Survey Photographic Library,"gorge, geology",Need release,,,,,,Desert,11,Salton Sea,,"http://libraryphoto.cr.usgs.gov/cgi-bin/show_picture.cgi?ID=ID.%20Mendenhall,%20W.C.%20636",,,,,126,175,0.72,578,800,0.7225,"Una quebrada en un depÃ_sito aluvional consolidado del PerÃ_odo Terciario. Red Canyon, 5 millas al este de Mecca en el desierto de Colorado, condado de San Diego, California."
,,,Salton Sea,MField_SaltonSea_Birds_R,ds11003,Michael Field,,2014,2014-00-00,2014,"Salton Sea, CA",,33.3093964,-115.8392996,Attic / Coast to Cactus,The Salton Sea.,El Mar de Salton.,,,,,,Â©Michael Field,Michael Field,Salton Sea,Need release,,,,,,Desert,11,Salton Sea,,Michael_Field on Flickr,,,,,175,116,1.50862,1000,661,1.51286,El Mar de Salton.
,Salton Sea,,Salton Sea,12229913444_719212d6be_o,ds11002,Michael Field,,19-Jan-14,1/19/14,2014-Jan-19,"Salton Sea, CA",,33.3093964,-115.8392996,Attic / Coast to Cactus,The Salton Sea.,El Mar de Salton.,,,,,,Â©Michael Field,Michael Field,Salton Sea,Need release,,,,,,Desert,11,Salton Sea,,https://www.flickr.com/photos/minkfink58/12229913444/in/set-72157640483039084,,,,,175,117,1.49573,1000,667,1.49925,El Mar de Salton.
,,,"Mud Pots Near Salton Sea Imperial Valley, Calif. Pomona Pub Lib 1929","11311 Mud Pots Near Salton Sea Imperial Valley, Calif. Pomona Pub Lib 1929",ds11001,Burton Frasher Sr.,,1929,1929-00-00,1929,"Salton Sea, CA",,33.3093964,-115.8392996,Attic / Coast to Cactus,Mud Pots near the Salton Sea.,Cenagales cerca del Mar de Salton.,,,,,Photographic Postcard,"The Pomona Public Library makes no assertions as to ownership of any original copyrights to images digitized for this site. However, these images are intended for Personal or Research use only. Any other kind of use, including, but not limited to commercial or scholarly publication in any medium or format, public exhibition, or use online or in a web site, may be subject to additional restrictions including but not limited to the copyrights held by parties other than the Library. USERS ARE SOLELY RESPONSIBLE for determining the existence of such rights and for obtaining any permissions and/or paying associated fees necessary for the proposed use.",Pomona Public Library,Salton Sea,Need permissions,,,,,,Desert,11,Salton Sea,,http://content.ci.pomona.ca.us/cdm4/item_viewer.php?CISOROOT=/Frasher&CISOPTR=2039&CISOBOX=1&REC=9,,,,,175,114,1.53509,1000,649,1.54083,Cenagales cerca del Mar de Salton.
,Fog and fire,,Foggy evening on Palomar Mountain,3656808352_3360bbb95a_o,ds10024,,,12-Jun-09,6/12/09,2009-Jun-12,"Palomar Mountain, CA",,33.3633675,-116.8355789,Attic / Coast to Cactus,A foggy evening on Palomar Mountain.,Una noche neblinosa en el Monte Palomar.,,,,,,"(CC) slworking2, , Creative Commons License 2.0",slworking2,,https://creativecommons.org/licenses/by-nc-sa/2.0/,,https://creativecommons.org/licenses/by-nc-sa/2.0/,,,,Mountains,10,Palomar Mountain,,https://www.flickr.com/photos/slworking/3656808352/,,,,,175,117,1.49573,1000,667,1.49925,Una noche neblinosa en el Monte Palomar.
,Doane Pond,,Doane Pond,2688266772_779828fac9_o,ds10023,Jason Hickey,,19-Jul-08,7/19/08,2008-Jul-19,"Palomar Mountain, CA",,33.3400119,-116.9014207,Attic / Coast to Cactus,Doane Pond.,El estanque Doane.,,,,,,"(CC) Jason Hickey, Creative Commons License 2.0",Jason Hickey,,https://creativecommons.org/licenses/by/2.0/,,https://creativecommons.org/licenses/by/2.0/,,,,Mountains,10,Palomar Mountain,,https://www.flickr.com/photos/exquisitur/2688266772,,,,,175,98,1.78571,1000,563,1.7762,El estanque Doane.
,,,"A tow-it-yourself weekend cabin is on the road on June 18, 1965, with Mount Palomar Observatory in the background.",00044892_R,ds10022,"Lee, Sammy F.",,18-Jun-65,6/18/65,1965-Jun-18,"Palomar Mountain, CA",,33.356326,-116.864848,Attic / Coast to Cactus,"A tow-it-yourself weekend cabin is on the road on June 18, 1965, with Mount Palomar Observatory in the background.","Una cabaÃ±a a remolque para los fines de semana sobre la ruta el 18 de junio de 1965, con el observatorio del Monte Palomar en el fondo.",,,,,,Los Angeles Public Library Herald-Examiner Collection,Los Angeles Public Library Herald-Examiner Collection,,http://www.lapl.org/collections-resources/photo-order-info,,,,,,Mountains,10,Palomar Mountain,,http://photos.lapl.org/carlweb/jsp/FullRecord?databaseID=968&record=15&controlNumber=48312,,,,,140,175,0.8,638,800,0.7975,"Una cabaÃ±a a remolque para los fines de semana sobre la ruta el 18 de junio de 1965, con el observatorio del Monte Palomar en el fondo."
,OP 15362-767 Fire - Palomar - 1934,"Davis, Edward H.",A view of the ruins of a house with stone fireplace. Possibly the Darlington house (Notebook 35A). Burned shrubs in foreground.,OP 15362-767,ds10021,,,1934,1934-00-00,1934,"Palomar Mountain, CA",,33.3633675,-116.8355789,Attic / Coast to Cactus,A view of the ruins of a house with stone fireplace.,Vista de las ruinas de una casa con chimenea de piedra.,,,,,,"Â© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes,Â click here for a reproduction order form. All image use, other than home, business display, or research will have anÂ additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.orgÂ or 619-232-6203 x 127.",San Diego History Center,,See SDHC license,License by SDHC on file,,,,,Mountains,10,Palomar Mountain,,http://www.sandiegohistory.org/davis/collection/op-15362-767,,,,,175,103,1.69903,1000,588,1.70068,Vista de las ruinas de una casa con chimenea de piedra.
,OP 15362-764 Fire - Palomar - 1934,"Davis, Edward H.",Man holding a hose near a fire on Palomar Mountain.,OP 15362-764,ds10020,,,1934,1934-00-00,1934,"Palomar Mountain, CA",,33.3633675,-116.8355789,Attic / Coast to Cactus,A man holding a hose near a fire on Palomar Mountain.,Un hombre sosteniendo una manguera cerca de un incendio en el Monte Palomar.,,,,,,"Â© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes,Â click here for a reproduction order form. All image use, other than home, business display, or research will have anÂ additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.orgÂ or 619-232-6203 x 127.",San Diego History Center,,See SDHC license,License by SDHC on file,,,,,Mountains,10,Palomar Mountain,,man holding a hose near a fire on Palomar Mountain.,,,,,175,103,1.69903,1000,590,1.69492,Un hombre sosteniendo una manguera cerca de un incendio en el Monte Palomar.
,OP 15362-700 On the Trail - Palomar Mt. - 1918,"Davis, Edward H.",A group of people on horseback riding on a trail near the foot of Palomar Mountain.,OP 15362-700,ds10019,,,1918,1918-00-00,1918,"Palomar Mountain, CA",,33.3633675,-116.8355789,Attic / Coast to Cactus,A group of people on horseback riding on a trail near the foot of Palomar Mountain.,Un grupo de personas a caballo en un sendero cerca del pie del Monte Palomar.,,,,,,"Â© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes,Â click here for a reproduction order form. All image use, other than home, business display, or research will have anÂ additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.orgÂ or 619-232-6203 x 127.",San Diego History Center,,See SDHC license,License by SDHC on file,,,,,Mountains,10,Palomar Mountain,,http://www.sandiegohistory.org/davis/collection/op-15362-700,,,,,175,102,1.71569,1000,583,1.71527,Un grupo de personas a caballo en un sendero cerca del pie del Monte Palomar.
,OP 15362-467 Theo Bailey Sitting with Cane - Palomar - 1926,"Davis, Edward H.","Theodore 'Theo' O. Bailey, an early Palomar Mountain resident. He sits on a flat rock on the ground and wears a cardigan sweater, collared shirt, hat, pants. He smokes a pipe and holds a cane.",OP 15362-467,ds10018,,,1926,1926-00-00,1926,"Palomar Mountain, CA",,33.3633675,-116.8355789,Attic / Coast to Cactus,"Theodore 'Theo' O. Bailey, an early Palomar Mountain resident.","Theodore â€œTheoâ€ù O. Bailey, uno de los primeros residentes del Monte Palomar.",,,,,,"Â© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes,Â click here for a reproduction order form. All image use, other than home, business display, or research will have anÂ additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.orgÂ or 619-232-6203 x 127.",San Diego History Center,,See SDHC license,License by SDHC on file,,,,,Mountains,10,Palomar Mountain,,http://www.sandiegohistory.org/davis/collection/op-15362-467,,,,,175,101,1.73267,1000,578,1.7301,"Theodore â€œTheoâ€ù O. Bailey, uno de los primeros residentes del Monte Palomar."
,Op 15362-219 Mrs. Davis at a rock with ancient mortal holes - Mt. Palomar - 1930,"Davis, Edward H.","Anna May Davis sitting on a large rock carved with mortar holes for grinding acorns at Silver Crest, Palomar Mountain.",OP 15362-219,ds10017,,,1930,1930-00-00,1930,"Palomar Mountain, CA",,33.339987,-116.905757,Attic / Coast to Cactus,"Anna May Davis sitting on a large rock with mortar holes used for grinding acorns at Silver Crest, Palomar Mountain.","Anna May Davis sentada sobre una gran roca con agujeros de mortero usados para moler bellotas en Silver Crest, Monte Palomar.",,,,,,"Â© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes,Â click here for a reproduction order form. All image use, other than home, business display, or research will have anÂ additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.orgÂ or 619-232-6203 x 127.",San Diego History Center,,See SDHC license,License by SDHC on file,,,,,Mountains,10,Palomar Mountain,,http://www.sandiegohistory.org/davis/collection/op-15362-219,,,,,175,100,1.75,1000,572,1.74825,"Anna May Davis sentada sobre una gran roca con agujeros de mortero usados para moler bellotas en Silver Crest, Monte Palomar."
,OP 15362-212 Mr. Francis G. Pease - Palomar Mt. Observatory - East Ridge - 1928,"Davis, Edward H.","Dr. Francis G. Pease at the Mt. Wilson Observatory on Palomar Mountain, east ridge. He stands outdoors, looking through binoculars. Trees in background.",OP 15362-212,ds10016,,,1928,1928-00-00,1928,"Palomar Mountain, CA",,33.356326,-116.864848,Attic / Coast to Cactus,"Dr. Francis G. Pease at the Mt. Wilson Observatory on Palomar Mountain, east ridge.","El Dr. Francis G. Pease en el observatorio en el Monte Palomar, en la cresta este.",,,,,,"Â© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes,Â click here for a reproduction order form. All image use, other than home, business display, or research will have anÂ additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.orgÂ or 619-232-6203 x 127.",San Diego History Center,,See SDHC license,License by SDHC on file,,,,,Mountains,10,Palomar Mountain,,"Dr. Francis G. Pease at the Mt. Wilson Observatory on Palomar Mountain, east ridge. He stands outdoors, looking through binoculars. Trees in background.",,,,,101,175,0.577143,463,800,0.57875,"El Dr. Francis G. Pease en el observatorio en el Monte Palomar, en la cresta este."
,81_11428 Palomar Mt. - Picnicking - 1908,,Large group of people picnicking at the base of Palomar Mountain SDHC,81_11428,ds10015,,,1908,1908-00-00,1908,"Palomar Mountain, CA",,33.3633675,-116.8355789,Attic / Coast to Cactus,Large group of people picnicking at the base of Palomar Mountain.,Un grupo grande de gente de picnic en la base del Monte Palomar.,,,,,,"Â© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes,Â click here for a reproduction order form. All image use, other than home, business display, or research will have anÂ additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.orgÂ or 619-232-6203 x 127.",San Diego History Center,,See SDHC license,License by SDHC on file,,,,,Mountains,10,Palomar Mountain,,http://content.cdlib.org/ark:/13030/kt809nc83g/,,,,,175,110,1.59091,1000,631,1.58479,Un grupo grande de gente de picnic en la base del Monte Palomar.
,SDHC_DS_86 15900-1154_R,"Davis, Edward H.","Irving Davis Jr., Ruth Davis, and an unidentified child standing in front of the Palomar Observatory and facing away from the camera. Scaffolding is set up around the base of the observatory's dome.",86 15900-1154,ds10014,,,1938,1938-00-00,1938,"Palomar Mountain, CA",,33.356326,-116.864848,Attic / Coast to Cactus,"Irving Davis Jr., Ruth Davis, and an unidentified child standing in front of the Palomar Observatory and facing away from the camera.","Irving Davis Jr., Ruth Davis, y un niÃ±o no identificado parados en frente del observatorio Palomar mirando en direcciÃ_n contraria a la cÃ¡mara.",,,,,,"Â© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes,Â click here for a reproduction order form. All image use, other than home, business display, or research will have anÂ additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.orgÂ or 619-232-6203 x 127.",San Diego History Center,,See SDHC license,License by SDHC on file,,,,,Mountains,10,Palomar Mountain,,http://www.sandiegohistory.org/davis/collection/8615900-1154,,,,,119,175,0.68,544,800,0.68,"Irving Davis Jr., Ruth Davis, y un niÃ±o no identificado parados en frente del observatorio Palomar mirando en direcciÃ_n contraria a la cÃ¡mara."
,86_15900-908 Palomar Mt. - Watts- Billy on Horse - 1918,"Davis, Edward H.",Billy Watts riding a horse and looking up at a large tree missing leaves.,86 15900-908,ds10013,,,1918,1918-00-00,1918,"Palomar Mountain, CA",,33.3633675,-116.8355789,Attic / Coast to Cactus,Billy Watts riding a horse and looking up at a large tree missing leaves.,Billy Watts a caballo y mirando hacia arriba a un Ã¡rbol deshojado de gran tamaÃ±o.,,,,,,"Â© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes,Â click here for a reproduction order form. All image use, other than home, business display, or research will have anÂ additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.orgÂ or 619-232-6203 x 127.",San Diego History Center,,See SDHC license,License by SDHC on file,,,,,Mountains,10,Palomar Mountain,,http://www.sandiegohistory.org/davis/collection/8615900-908,,,,,123,175,0.702857,561,800,0.70125,Billy Watts a caballo y mirando hacia arriba a un Ã¡rbol deshojado de gran tamaÃ±o.
,86_15900-906 Palomar Mt. - Watts- Billy on Horse - 1918,"Davis, Edward H.",Billy Watts on horseback in between two large tree trunks riddled with woodpecker holes.,86 15900-906,ds10012,,,1918,1918-00-00,1918,"Palomar Mountain, CA",,33.3633675,-116.8355789,Attic / Coast to Cactus,Billy Watts on horseback in between two large tree trunks riddled with woodpecker holes.,Billy Watts a caballo entre dos grandes troncos cubiertos de agujeros hechos por los carpinteros belloteros.,,,,,,"Â© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes,Â click here for a reproduction order form. All image use, other than home, business display, or research will have anÂ additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.orgÂ or 619-232-6203 x 127.",San Diego History Center,,See SDHC license,License by SDHC on file,,,,,Mountains,10,Palomar Mountain,,http://www.sandiegohistory.org/davis/collection/8615900-906,,,,,122,175,0.697143,557,800,0.69625,Billy Watts a caballo entre dos grandes troncos cubiertos de agujeros hechos por los carpinteros belloteros.
,Palomar Mt. Trip with Ashtons - Mt. Palomar - 1917,"Davis, Edward H.",Two people standing atop a large rock at the top of Palomar Mountain. Telephone or electrical pole is on the right. Three saddled horses in foreground.,86 15900-858,ds10011,,,1917,1917-00-00,1917,"Palomar Mountain, CA",,33.3633675,-116.8355789,Attic / Coast to Cactus,Two people standing atop a large rock at the top of Palomar Mountain. Telephone or electrical pole is on the right. Three saddled horses in foreground.,Dos personas paradas sobre una roca de gran tamaÃ±o en la cima del Monte Palomar. Un poste de telÃ©fono o elÃ©ctrico estÃ¡ a la derecha. Tres caballos ensillados en primer plano.,,,,,,"Â© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes,Â click here for a reproduction order form. All image use, other than home, business display, or research will have anÂ additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.orgÂ or 619-232-6203 x 127.",San Diego History Center,,See SDHC license,License by SDHC on file,,,,,Mountains,10,Palomar Mountain,,http://www.sandiegohistory.org/davis/collection/8615900-858,,,,,175,122,1.43443,1000,696,1.43678,Dos personas paradas sobre una roca de gran tamaÃ±o en la cima del Monte Palomar. Un poste de telÃ©fono o elÃ©ctrico estÃ¡ a la derecha. Tres caballos ensillados en primer plano.
,86_15900-856 Palomar Mt. Trip with Ashtons - Harrison - Nat - 1917,"Davis, Edward H.","A man sitting on a chair outdoors, holding his hat. He is probably Nate Harrison, a long-time Palomar Mountain resident.",86 15900-856,ds10010,,,1917,1917-00-00,1917,"Palomar Mountain, CA",,33.3633675,-116.8355789,Attic / Coast to Cactus,"A man sitting on a chair outdoors, holding his hat. He is probably Nate Harrison, a long-time Palomar Mountain resident.","Un hombre sentado en una silla afuera, agarrÃ¡ndose el sombrero. Probablemente sea Nate Harrison, un residente de larga data en el Monte Palomar.",,,,,,"Â© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes,Â click here for a reproduction order form. All image use, other than home, business display, or research will have anÂ additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.orgÂ or 619-232-6203 x 127.",San Diego History Center,,See SDHC license,License by SDHC on file,,,,,Mountains,10,Palomar Mountain,,http://www.sandiegohistory.org/davis/collection/8615900-856,,,,,175,120,1.45833,1000,688,1.45349,"Un hombre sentado en una silla afuera, agarrÃ¡ndose el sombrero. Probablemente sea Nate Harrison, un residente de larga data en el Monte Palomar."
,86_15900-853 Palomar Mt. Trip with Ashtons - Group with Flag - Eagle - 1917,"Davis, Edward H.","A man, possibly Edward H. Davis, holding an eagle outside a building. A man and woman on either side of him hold out the eagle's wings. A group of people stand nearby. Large flag hangs behind them.",86 15900-853,ds10009,,,1917,1917-00-00,1917,"Palomar Mountain, CA",,33.3633675,-116.8355789,Attic / Coast to Cactus,"A man, possibly Edward H. Davis, holding an eagle outside a building.  A man and woman on either side of him hold out the eagle's wings.","Un hombre, posiblemente Edward H. Davis, sosteniendo un Ã¡guila afuera de un edificio. Un hombre y una mujer a cada lado sostienen las alas del Ã¡guila.",,,,,,"Â© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes,Â click here for a reproduction order form. All image use, other than home, business display, or research will have anÂ additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.orgÂ or 619-232-6203 x 127.",San Diego History Center,,See SDHC license,License by SDHC on file,,,,,Mountains,10,Palomar Mountain,,http://www.sandiegohistory.org/davis/collection/8615900-853,,,,,175,121,1.44628,1000,689,1.45138,"Un hombre, posiblemente Edward H. Davis, sosteniendo un Ã¡guila afuera de un edificio. Un hombre y una mujer a cada lado sostienen las alas del Ã¡guila."
,86_15900-852 Palomar Mt. Trip with Ashtons - Group on Horseback - 1917,"Davis, Edward H.","A group of people on horseback with view of trees, hills behind them.",86 15900-852,ds10008,,,1917,1917-00-00,1917,"Palomar Mountain, CA",,33.3633675,-116.8355789,Attic / Coast to Cactus,"A group of people on horseback with view of trees, hills behind them.",Un grupo de personas a caballo con la vista de los Ã¡rboles y colinas detrÃ¡s de ellos.,,,,,,"Â© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes,Â click here for a reproduction order form. All image use, other than home, business display, or research will have anÂ additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.orgÂ or 619-232-6203 x 127.",San Diego History Center,,See SDHC license,License by SDHC on file,,,,,Mountains,10,Palomar Mountain,,http://www.sandiegohistory.org/davis/collection/8615900-852,,,,,175,140,1.25,1000,800,1.25,Un grupo de personas a caballo con la vista de los Ã¡rboles y colinas detrÃ¡s de ellos.
,86_15900-716 Davis - Anna May - Palomar Mt. - 1911,"Davis, Edward H.","A woman, possibly Anna May Davis, sitting on a rock on Palomar Mountain. View of lower landscape in fog.",86 15900-716,ds10007,,,1911,1911-00-00,1911,"Palomar Mountain, CA",,33.3633675,-116.8355789,Attic / Coast to Cactus,"A woman, possibly Anna May Davis, sitting on a rock on Palomar Mountain. View of lower landscape in fog.","Una mujer, posiblemente Anna May Davis, sentada sobre una roca en el Monte Palomar. Vista del paisaje neblinoso mÃ¡s abajo.",,,,,,"Â© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes,Â click here for a reproduction order form. All image use, other than home, business display, or research will have anÂ additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.orgÂ or 619-232-6203 x 127.",San Diego History Center,woman,See SDHC license,License by SDHC on file,,,,,Mountains,10,Palomar Mountain,,http://www.sandiegohistory.org/davis/collection/8615900-716,,,,,175,140,1.25,1000,800,1.25,"Una mujer, posiblemente Anna May Davis, sentada sobre una roca en el Monte Palomar. Vista del paisaje neblinoso mÃ¡s abajo."
,86_15900-714 Palomar Mt. - Horse Drawn Wagon - 1911,"Davis, Edward H.",A horse-drawn wagon on a dirt road beneath oak trees on Palomar Mountain.,86 15900-714,ds10006,,,1911,1911-00-00,1911,"Palomar Mountain, CA",,33.3633675,-116.8355789,Attic / Coast to Cactus,A horse-drawn wagon on a dirt road beneath oak trees on Palomar Mountain.,Una carreta tirada por caballos en un camino de tierra que pasa bajo unos robles en el Monte Palomar.,,,,,,"Â© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes,Â click here for a reproduction order form. All image use, other than home, business display, or research will have anÂ additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.orgÂ or 619-232-6203 x 127.",San Diego History Center,horse,See SDHC license,License by SDHC on file,,,,,Mountains,10,Palomar Mountain,,http://www.sandiegohistory.org/davis/collection/8615900-714,,,,,140,175,0.8,640,800,0.8,Una carreta tirada por caballos en un camino de tierra que pasa bajo unos robles en el Monte Palomar.
