"umoId","title","artistCreator","description","objectId","_id","photographer","people","appDate","isoDate","origDate","creationPlace","event","latitude","longitude","exhibition","labelTextEnglish","labelTextSpanish","locality","specimenNumber","commonName","scientificName","medium","copyright","creditLine","keyword","restrictionsForAccess","materialsReleaseRecd","permissionsRestrictions","sourceInstitution","infoStatus","institutionDesc","habitatDs","dsLocId","generalLocationDs","thenNowDs","internalNotes","","","","","thumbWidth","thumbHeight","thumbAspectRatio","expandedHeight","expandedWidth","expandedAspectRatio"
"","81_11428 Palomar Mt. - Picnicking - 1908","","Large group of people picnicking at the base of Palomar Mountain SDHC","81_11428","ds10015","","","date-1908","iso-1908-00-00","1908","Palomar Mountain, CA","","33.3633675","-116.8355789","Attic / Coast to Cactus","Large group of people picnicking at the base of Palomar Mountain.","","","","","","","© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes, click here for a reproduction order form. All image use, other than home, business display, or research will have an additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.org or 619-232-6203 x 127.","San Diego History Center","","See SDHC license","License by SDHC on file","","","","","Mountains","10","Palomar Mountain","","http://content.cdlib.org/ark:/13030/kt809nc83g/","","","","","175","110","1.59091","1500","946","1.58562"
"","SDHC_DS_86 15900-1154_R","Davis, Edward H.","Irving Davis Jr., Ruth Davis, and an unidentified child standing in front of the Palomar Observatory and facing away from the camera. Scaffolding is set up around the base of the observatory's dome.","86 15900-1154","ds10014","","","date-1938","iso-1938-00-00","1938","Palomar Mountain, CA","","33.356326","-116.864848","Attic / Coast to Cactus","Irving Davis Jr., Ruth Davis, and an unidentified child standing in front of the Palomar Observatory and facing away from the camera.","","","","","","","© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes, click here for a reproduction order form. All image use, other than home, business display, or research will have an additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.org or 619-232-6203 x 127.","San Diego History Center","","See SDHC license","License by SDHC on file","","","","","Mountains","10","Palomar Mountain","","http://www.sandiegohistory.org/davis/collection/8615900-1154","","","","","119","175","0.68","1021","1500","0.680667"
"","86_15900-908 Palomar Mt. - Watts- Billy on Horse - 1918","Davis, Edward H.","Billy Watts riding a horse and looking up at a large tree missing leaves.","86 15900-908","ds10013","","","date-1918","iso-1918-00-00","1918","Palomar Mountain, CA","","33.3633675","-116.8355789","Attic / Coast to Cactus","Billy Watts riding a horse and looking up at a large tree missing leaves.","","","","","","","© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes, click here for a reproduction order form. All image use, other than home, business display, or research will have an additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.org or 619-232-6203 x 127.","San Diego History Center","","See SDHC license","License by SDHC on file","","","","","Mountains","10","Palomar Mountain","","http://www.sandiegohistory.org/davis/collection/8615900-908","","","","","123","175","0.702857","1052","1500","0.701333"
"","86_15900-906 Palomar Mt. - Watts- Billy on Horse - 1918","Davis, Edward H.","Billy Watts on horseback in between two large tree trunks riddled with woodpecker holes.","86 15900-906","ds10012","","","date-1918","iso-1918-00-00","1918","Palomar Mountain, CA","","33.3633675","-116.8355789","Attic / Coast to Cactus","Billy Watts on horseback in between two large tree trunks riddled with woodpecker holes.","","","","","","","© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes, click here for a reproduction order form. All image use, other than home, business display, or research will have an additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.org or 619-232-6203 x 127.","San Diego History Center","","See SDHC license","License by SDHC on file","","","","","Mountains","10","Palomar Mountain","","http://www.sandiegohistory.org/davis/collection/8615900-906","","","","","122","175","0.697143","1044","1500","0.696"
"","Palomar Mt. Trip with Ashtons - Mt. Palomar - 1917","Davis, Edward H.","Two people standing atop a large rock at the top of Palomar Mountain. Telephone or electrical pole is on the right. Three saddled horses in foreground.","86 15900-858","ds10011","","","date-1917","iso-1917-00-00","1917","Palomar Mountain, CA","","33.3633675","-116.8355789","Attic / Coast to Cactus","Two people standing atop a large rock at the top of Palomar Mountain. Telephone or electrical pole is on the right. Three saddled horses in foreground.","","","","","","","© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes, click here for a reproduction order form. All image use, other than home, business display, or research will have an additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.org or 619-232-6203 x 127.","San Diego History Center","","See SDHC license","License by SDHC on file","","","","","Mountains","10","Palomar Mountain","","http://www.sandiegohistory.org/davis/collection/8615900-858","","","","","175","122","1.43443","1500","1044","1.43678"
"","86_15900-856 Palomar Mt. Trip with Ashtons - Harrison - Nat - 1917","Davis, Edward H.","A man sitting on a chair outdoors, holding his hat. He is probably Nate Harrison, a long-time Palomar Mountain resident.","86 15900-856","ds10010","","","date-1917","iso-1917-00-00","1917","Palomar Mountain, CA","","33.3633675","-116.8355789","Attic / Coast to Cactus","A man sitting on a chair outdoors, holding his hat. He is probably Nate Harrison, a long-time Palomar Mountain resident.","","","","","","","© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes, click here for a reproduction order form. All image use, other than home, business display, or research will have an additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.org or 619-232-6203 x 127.","San Diego History Center","","See SDHC license","License by SDHC on file","","","","","Mountains","10","Palomar Mountain","","http://www.sandiegohistory.org/davis/collection/8615900-856","","","","","175","120","1.45833","1500","1031","1.4549"
"","86_15900-853 Palomar Mt. Trip with Ashtons - Group with Flag - Eagle - 1917","Davis, Edward H.","A man, possibly Edward H. Davis, holding an eagle outside a building. A man and woman on either side of him hold out the eagle's wings. A group of people stand nearby. Large flag hangs behind them.","86 15900-853","ds10009","","","date-1917","iso-1917-00-00","1917","Palomar Mountain, CA","","33.3633675","-116.8355789","Attic / Coast to Cactus","A man, possibly Edward H. Davis, holding an eagle outside a building.  A man and woman on either side of him hold out the eagle's wings.","","","","","","","© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes, click here for a reproduction order form. All image use, other than home, business display, or research will have an additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.org or 619-232-6203 x 127.","San Diego History Center","","See SDHC license","License by SDHC on file","","","","","Mountains","10","Palomar Mountain","","http://www.sandiegohistory.org/davis/collection/8615900-853","","","","","175","121","1.44628","1500","1033","1.45208"
"","86_15900-852 Palomar Mt. Trip with Ashtons - Group on Horseback - 1917","Davis, Edward H.","A group of people on horseback with view of trees, hills behind them.","86 15900-852","ds10008","","","date-1917","iso-1917-00-00","1917","Palomar Mountain, CA","","33.3633675","-116.8355789","Attic / Coast to Cactus","A group of people on horseback with view of trees, hills behind them.","","","","","","","© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes, click here for a reproduction order form. All image use, other than home, business display, or research will have an additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.org or 619-232-6203 x 127.","San Diego History Center","","See SDHC license","License by SDHC on file","","","","","Mountains","10","Palomar Mountain","","http://www.sandiegohistory.org/davis/collection/8615900-852","","","","","175","140","1.25","1500","1200","1.25"
"","86_15900-716 Davis - Anna May - Palomar Mt. - 1911","Davis, Edward H.","A woman, possibly Anna May Davis, sitting on a rock on Palomar Mountain. View of lower landscape in fog.","86 15900-716","ds10007","","","date-1911","iso-1911-00-00","1911","Palomar Mountain, CA","","33.3633675","-116.8355789","Attic / Coast to Cactus","A woman, possibly Anna May Davis, sitting on a rock on Palomar Mountain. View of lower landscape in fog.","","","","","","","© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes, click here for a reproduction order form. All image use, other than home, business display, or research will have an additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.org or 619-232-6203 x 127.","San Diego History Center","woman","See SDHC license","License by SDHC on file","","","","","Mountains","10","Palomar Mountain","","http://www.sandiegohistory.org/davis/collection/8615900-716","","","","","175","140","1.25","1500","1200","1.25"
"","86_15900-714 Palomar Mt. - Horse Drawn Wagon - 1911","Davis, Edward H.","A horse-drawn wagon on a dirt road beneath oak trees on Palomar Mountain.","86 15900-714","ds10006","","","date-1911","iso-1911-00-00","1911","Palomar Mountain, CA","","33.3633675","-116.8355789","Attic / Coast to Cactus","A horse-drawn wagon on a dirt road beneath oak trees on Palomar Mountain.","","","","","","","© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes, click here for a reproduction order form. All image use, other than home, business display, or research will have an additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.org or 619-232-6203 x 127.","San Diego History Center","horse","See SDHC license","License by SDHC on file","","","","","Mountains","10","Palomar Mountain","","http://www.sandiegohistory.org/davis/collection/8615900-714","","","","","140","175","0.8","1200","1500","0.8"
"","86_15900-711 Palomar Mt. - Women on Horseback - Log Cabin - 1911","Davis, Edward H.","Three women on horseback next to a log cabin along the trail to Palomar Mountain.","86 15900-711","ds10005","","","date-1911","iso-1911-00-00","1911","Palomar Mountain, CA","","33.3633675","-116.8355789","Attic / Coast to Cactus","Three women on horseback next to a log cabin along the trail to Palomar Mountain.","","","","","","","© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes, click here for a reproduction order form. All image use, other than home, business display, or research will have an additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.org or 619-232-6203 x 127.","San Diego History Center","","See SDHC license","License by SDHC on file","","","","","Mountains","10","Palomar Mountain","","http://www.sandiegohistory.org/davis/collection/8615900-711","","","","","175","140","1.25","1500","1200","1.25"
"","86_15900-570 Palomar Mt. - Campfire - 1907","Davis, Edward H.","A group of people eating near a campfire. Small tables in background hold dishes and a pail. Group appears to include Davis' children and an unidentified man and woman.","86 15900-570","ds10004","","","date-1907","iso-1907-00-00","1907","Palomar Mountain, CA","","33.3633675","-116.8355789","Attic / Coast to Cactus","A group of people eating near a campfire. Small tables in background hold dishes and a pail. Group appears to include Davis' children and an unidentified man and woman.","","","","","","","© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes, click here for a reproduction order form. All image use, other than home, business display, or research will have an additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.org or 619-232-6203 x 127.","San Diego History Center","","See SDHC license","License by SDHC on file","","","","","Mountains","10","Palomar Mountain","","http://www.sandiegohistory.org/davis/collection/8615900-570","","","","","175","140","1.25","1500","1200","1.25"
"","86_15900-567 Davis - Marion - Palomar Mt. - 1907","Davis, Edward H.","Marion Davis on a fallen tree and leaning over to touch the stream below with a branch.","86 15900-567","ds10003","","","date-1907","iso-1907-00-00","1907","Palomar Mountain, CA","","33.3633675","-116.8355789","Attic / Coast to Cactus","Marion Davis on a fallen tree and leaning over to touch the stream below with a branch.","","","","","","","© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes, click here for a reproduction order form. All image use, other than home, business display, or research will have an additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.org or 619-232-6203 x 127.","San Diego History Center","","See SDHC license","License by SDHC on file","","","","","Mountains","10","Palomar Mountain","","http://www.sandiegohistory.org/davis/collection/8615900-567","","","","","140","175","0.8","1200","1500","0.8"
"","86_15900-564 Palomar Mt. - Sleeping Outdoor - 1907","Davis, Edward H.","Two people sleeping outdoors between two large trees.","86 15900-564","ds10002","","","date-1907","iso-1907-00-00","1907","Palomar Mountain, CA","","33.3633675","-116.8355789","Attic / Coast to Cactus","Two people sleeping outdoors between two large trees.","","","","","","","© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes, click here for a reproduction order form. All image use, other than home, business display, or research will have an additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.org or 619-232-6203 x 127.","San Diego History Center","forest, camping","See SDHC license","License by SDHC on file","","","","","Mountains","10","Palomar Mountain","","http://www.sandiegohistory.org/davis/collection/8615900-564","","","","","175","140","1.25","1500","1200","1.25"
"","86_15900-556 Palomar Mt. - Forest - 1906","Davis, Edward H.","A fallen tree over a small creek in the forest on Palomar Mountain.","86 15900-556","ds10001","","","date-1906","iso-1906-00-00","1906","Palomar Mountain, CA","","33.3633675","-116.8355789","Attic / Coast to Cactus","A fallen tree over a small creek in the forest on Palomar Mountain.","","","","","","","© San Diego History Center. The images from the Edward H. Davis Collection are the copyrighted property of the San Diego History Center. Images may not be transmitted, stored, copied, or reproduced without written permission. If you need an image for reproduction purposes, click here for a reproduction order form. All image use, other than home, business display, or research will have an additional use fee. It is the policy of SDHC, a non-profit museum, to charge licensing fees for the use of these images which helps fund ongoing efforts to care for our collection and make it available to the public. If you would like to obtain permission to use these images, please contact us atcollections@sandiegohistory.org or 619-232-6203 x 127.","San Diego History Center","forest","See SDHC license","License by SDHC on file","","","","","Mountains","10","Palomar Mountain","","http://www.sandiegohistory.org/davis/collection/8615900-556","","","","","140","175","0.8","1200","1500","0.8"
"","El Morro Beach, Laguna Beach, circa 1950","","El Morro Beach, Laguna Beach, circa 1950","11212500736_ccb5e5a18e_o","ds09005","","","date-1950","iso-1950-00-00","ca. 1950","El Morro Beach, Laguna Beach, CA","","33.585339","-117.801834","Attic / Coast to Cactus","El Morro Beach.","","","","","","","Orange County Archives","Photo courtesy Orange County Archives.","","There are no known copyright restrictions on this image. All future uses of this photo should include the courtesy line, ""Photo courtesy Orange County Archives.""","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","9","Orange County","","https://www.flickr.com/photos/ocarchives/11212500736/","","","","","175","112","1.5625","1500","962","1.55925"
"","","","cool blue guy.","9540118457_b7a396c4f4_o","ds09004","tdlucas5000","","date-August 18, 2013","iso-2013-08-18","2013-Aug-18","Los Alamitos, CA","","33.8002669","-118.0627104","Attic / Coast to Cactus","A cool blue dragonfly.","","","","","","","(CC) tdlucas5000, Creative Commons License 2.0","tdlucas5000","dragonfly","https://creativecommons.org/licenses/by-sa/2.0/","","https://creativecommons.org/licenses/by-sa/2.0/","","","","Coast","9","Orange County","","https://www.flickr.com/photos/tdlucas5000/9540118457","","","","","175","109","1.6055","1500","938","1.59915"
"","","","Light-footed clapper rails being release on Seal Beach National Wildlife Refuge","6241296664_14c72581b3_o","ds09003"," Lisa Cox/USFWS","","date-September 29, 2011","iso-2011-09-29","2011-Sep-29","Seal Beach National Wildlife Refuge, CA","","33.7552454","-118.078925","Attic / Coast to Cactus","Light-footed Clapper Rails being released on Seal Beach National Wildlife Refuge.","","","","","","","(CC) U.S. Fish & Wildlife Service, Creative Commons 2.0 License","Lisa Cox/U.S. Fish & Wildlife Service","endangered, clapper rail, wetland","https://creativecommons.org/licenses/by/2.0/","","","","","","Coast","9","Orange County","","https://www.flickr.com/photos/usfws_pacificsw/6241296664/in/set-72157625068637776/","","","","","175","117","1.49573","1500","1000","1.5"
"","Storm damage, Sunset Beach, Sept. 1939","","Storm damage, Sunset Beach, Sept. 1939","5013005348_a62376d639_o","ds09002","","","date-September 1939","iso-1939-09-00","1939-Sep","Sunset Beach, Huntington Beach, CA","","33.7164069","-118.0689517","Attic / Coast to Cactus","Storm damage on Sunset Beach.","","","","","","","Orange County Archives","Photo courtesy Orange County Archives","storm, damage","There are no known copyright restrictions on this image. All future uses of this photo should include the courtesy line, ""Photo courtesy Orange County Archives.""","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","9","Orange County","","https://www.flickr.com/photos/ocarchives/5013005348/","","","","","175","100","1.75","1500","861","1.74216"
"","Women artists, Laguna Beach [graphic]","","Four women are enjoying watermelons while camping and painting in a eucalyptus grove in Laguna Beach. Canvases, paint brushes and palettes are on a box in front of the seated women. A metal camp stove is in front of the tent and pans hang from a nearby tree. To the right is a carriage, sans horse.","74114","ds09001","","","date-189u","iso-189u-00-00","ca. 189u","Laguna Beach, CA","","33.5482831","-117.774753","Attic / Coast to Cactus","Four women are enjoying watermelons while camping and painting in a eucalyptus grove in Laguna Beach.","","","","","","","Los Angeles Public Library","Los Angeles Public Library Security Pacific National Bank Collection","artist, beach, camping","http://www.lapl.org/collections-resources/photo-order-info","","","","","","Coast","9","Orange County","","http://photos.lapl.org/carlweb/jsp/FullRecord?databaseID=968&record=69&controlNumber=4774278","","","","","175","110","1.59091","1500","940","1.59574"
"","","","Looking south. Shows bigcone spruce in ravine. Black oak woodland at top of slope. Chaparral, Quercus dumosa and Ceanothus divaricatus. At the right this chaparral has replaced fire destroyed woodland of coast live and Engelmann oak.","VTM00007881a_k","ds08005","Wieslander, Albert Everett","","date-1931","iso-1931-00-00","1931","Ramona, CA","","33.0352805","-116.8701971","Attic / Coast to Cactus","Looking south. Shows bigcone spruce in ravine. Black oak woodland at top of slope. At the right chaparral has replaced fire-destroyed woodland of coast live and Engelmann oak.","","","","","","","not subject to copyright","Marian Koshland Bioscience and Natural Resources Library, University of California, Berkeley, www.lib.berkeley.edu/BIOS/vtm/.","","These images from the Wieslander Vegetation Type Mapping (VTM) Collection are in the public domain. As such they are not subject to copyright and no permission is necessary to download them or use them as you wish. However, we would appreciate any use of this site be noted with the phrase: ""Images from the Wieslander Vegetation Type Mapping Collection are courtesy of the Marian Koshland Bioscience and Natural Resources Library, University of California, Berkeley, www.lib.berkeley.edu/BIOS/vtm/."" We would also appreciate being notified when materials from this site are used in other sites or publications. Please use our Comment Form.","","","","","","Chaparral?","8","North San Diego County","","http://digitalassets.lib.berkeley.edu/vtm/ucb/images/VTM00007881a_k.jpg","","","","","175","109","1.6055","1500","938","1.59915"
"","","","","","ds08004","","","date-","iso--00-00","","","","","","","","","","","","","","","","","","","","","","","North San Diego County","","","","","","","","","133","175","0.76","1144","1500","0.762667"
"","","","Race into Ocean. Triathletes race past the waters edge into the ocean. A triathlete set to depart in a later wave and a woman stand watching and lend contrast between static and kinetic elements in the picture.","9417839759_124918ac45_o","ds08003","Chris Hunkeler","","date-July 28, 2013","iso-2013-07-28","2013-Jul-28","Solana Beach, CA","","32.993988","-117.257494","Attic / Coast to Cactus","Triathletes race past the water’s edge into the ocean.","","","","","","","(CC) Chris Hunkeler, Creative Commons 2.0 License","Chris Hunkeler","","https://creativecommons.org/licenses/by-sa/2.0/","","https://creativecommons.org/licenses/by-sa/2.0/","","","","Coast","8","North San Diego County","","https://www.flickr.com/photos/chrishunkeler/9417839759/","","","","","175","104","1.68269","1500","890","1.68539"
"","Big Vineyard","","Big Vineyard","152124696_0f39536237_o","ds08002","","","date-1930","iso-1930-00-00","ca. 1930","Escondido, CA","","33.1347254","-117.0699775","Attic / Coast to Cactus","Big vineyard.","","","","","","","(CC) Escondido Public Library, Creative Commons 2.0 License","Escondido Public Library, Ryan Photo Collection - Escondido Public Library - Pioneer Room (Vol. 2, PC 91-732).","","https://creativecommons.org/licenses/by-nc/2.0/","","https://creativecommons.org/licenses/by-nc/2.0/","","","","?","8","North San Diego County","","https://www.flickr.com/photos/escondidopubliclib/152124696","","","","","175","116","1.50862","1500","999","1.5015"
"","","Davis, Edward H.","Anna May Davis standing under a tent set up near the beach at Encinitas. Three boys are in background.","86_15900-60 Davis - Anna May - Camping - Encinitas - 1903","ds08001","","Anna May Davis","date-1903","iso-1903-00-00","1903","Encinitas, CA","","33.043982","-117.2536381","Attic / Coast to Cactus","Anna May Davis standing under a tent set up near the beach at Encinitas with three boys in the background.","","","","","","","© San Diego History Center","San Diego History Center","","Need permissions","","","","","","Coast","8","North San Diego County","","http://www.sandiegohistory.org/davis/collection/8615900-60","","","","","175","140","1.25","1500","1200","1.25"
"","Mescal Wildlife Sanctuary, California","","Mescal Wildlife Sanctuary, California","6411968747_f3b6a3a991_o","ds07020","Tiberiu Ana","","date-November 24, 2011","iso-2011-11-24","2011-Nov-24","Mescal Wildlife Sanctuary, CA","","34.4804692","-117.6891334","Attic / Coast to Cactus","Mescal Wildlife Sanctuary.","","","","","","","(CC) Tiberiu Ana,  Creative Commons 2.0 License","Tiberiu Ana","wildlife","https://creativecommons.org/licenses/by/2.0/","https://creativecommons.org/licenses/by/2.0/","","","","","Desert","7","Mojave Desert","","https://www.flickr.com/photos/txberiu/6411968747","","","","","175","116","1.50862","1500","997","1.50451"
"","Desert in Spring","","Desert in Spring","13944339503_2579a20d46_o","ds07019","Rennett Stowe","","date-April 14, 2014","iso-2014-04-14","2014-Apr-14","Palmdale, CA","","34.585428","-118.101427","Attic / Coast to Cactus","The desert in spring.","","","","","","","(CC) Rennett Stowe,  Creative Commons 2.0 License","Rennett Stowe","spring, desert","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Desert","7","Mojave Desert","","https://www.flickr.com/photos/tomsaint/13944339503/","","","","","175","129","1.35659","1500","1102","1.36116"
"","Desert Flower Fields","","Desert Flower Fields","14378153985_a531d9fa61_o","ds07018","Rennett Stowe","","date-April 19, 2014","iso-2014-04-19","2014-Apr-19","Antelope Valley, CA","","34.7385489","-118.3958617","Attic / Coast to Cactus","Desert flower fields.","","","","","","","(CC) Rennett Stowe,  Creative Commons 2.0 License","Rennett Stowe","flower","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Desert","7","Mojave Desert","","https://www.flickr.com/photos/tomsaint/14378153985/","","","","","175","149","1.1745","1500","1279","1.17279"
"","California Poppies and Acton Daisies","","California Poppies and Acton Daisies","2371593467_1b5d174258_o","ds07017","Rennett Stowe","","date-March 29, 2008","iso-2008-03-29","2008-Mar-29","Antelope Valley Poppy Preserve, CA","","34.7385489","-118.3958617","Attic / Coast to Cactus","California poppies and Acton daisies.","","","","","","","(CC) Rennett Stowe,  Creative Commons 2.0 License","Rennett Stowe","poppy, daisy, flower","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Desert","7","Mojave Desert","","https://www.flickr.com/photos/tomsaint/2371593467/in/photolist-4Bz37x-685kmL-69Htd3-65qzLJ-4Bz37t","","","","","175","131","1.33588","1500","1125","1.33333"
"","Mojave Desert CA","","Mojave Desert CA","4894765379_9e245985f1_o","ds07016","","","date-2010","iso-2010-00-00","2010","Mojave Desert, CA","","34.206407","-114.914932","Attic / Coast to Cactus","Mojave Desert,CA.","","","","","","","(CC) zeestof,  Creative Commons 2.0 License","zeestof","aerial, Mojave","https://creativecommons.org/licenses/by-sa/2.0/","","https://creativecommons.org/licenses/by-sa/2.0/","","","","Desert","7","Mojave Desert","","https://www.flickr.com/photos/zeesstof/4894765379/in/photolist-8swXdx-amZYUT-aS1sJn-F84cW-79Y73Z-3Lt5nt-9Grtqh-gAw3mo-wzL7u-ayHk2Z-kuzwru-3LsbXr-gEkskn-3LwZaC-2pXohv-as1ukc-nkLZYe-3LxsRW-iLYADv-5gB6PV-3LtaNc-dKPQQr-dKVmK5-ejuYQf-cXuMH1-hu7sZN-dKVtSW-e3nXPV-jZFS6a-nGG7Te-npebRW-hh9uew-nJDtwH-nzdopx-aKKyYz-avHsTL-buzgr6-7ZBRYR-nMxu1e-5JnNA4-9y2oCD-gSGDpf-dKVkAJ-8sA1GN-4WzJZ5-ijz2Tx-8swXte-4WzHn7-4WzHbj-9K19a9","","","","","175","120","1.45833","1500","1026","1.46199"
"","Mojave Desert Tortoise","","Mojave Desert Tortoise. The U. S. Fish and Wildlife Service has announced the availability of a Revised Recovery Plan for the threatened Mojave population of the desert tortoise (Gopherus agassizii) under the Endangered Species Act (ESA). The Plan takes a new approach to reversing declines in Mojave desert tortoise populations through a coordinated effort of science-based implementation and evaluation of conservation actions.","6079791590_0c1c9471ce_o","ds07015","","","date-2009","iso-2009-00-00","2009","Mojave Desert, CA","","34.3860606","-116.532849","Attic / Coast to Cactus","Mojave Desert Tortoise (Gopherus agassizii), a threatened species.","","","","","","","(CC) U.S. Fish and Wildlife Service, Creative Commons 2.0 License","U.S. Fish and Wildlife Service","tortoise, endangered","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Desert","7","Mojave Desert","","https://www.flickr.com/photos/usfws_pacificsw/6079791590/in/set-72157626169676139","","","","","175","117","1.49573","1500","1000","1.5"
"","Yucca cactus","","Yucca trees near Victorville, California. Graham Brothers 1 and 1/2 ton truck. Level party of F. W. Hough","theb0837","ds07014","","","date-1924","iso-1924-00-00","1924","Victorville, CA","","34.5402925","-117.3614264","Attic / Coast to Cactus","Yucca trees near Victorville, California.  Graham Brothers' 1-1/2 ton truck.","","","","","","","Public Domain/NOAA","NOAA Photo Library","yucca","none","","","","","","Desert","7","Mojave Desert","","http://www.photolib.noaa.gov/htmls/theb0837.htm","","","","","175","108","1.62037","1500","928","1.61638"
